San José;Puriscal;Santiago;11;12;6
San José;San José;Carmen;140;124;63
San José;San José;Catedral;47;65;33
San José;San José;Hatillo;104;115;71
San José;San José;Hospital;105;115;36
San José;San José;Mata Redonda;9;18;7
San José;San José;Merced;55;62;14
San José;San José;Pavas;215;226;112
San José;San José;San Francisco de Dos Ríos;42;29;17
San José;San José;San Sebastian;133;126;50
San José;San José;Uruca;79;84;41
San José;San José;Zapote;37;46;15
San José;Santa Ana;Brasil;8;10;1
San José;Santa Ana;Piedades;13;12;8
San José;Santa Ana;Pozos;16;28;11
San José;Santa Ana;Salitral;6;3;3
San José;Santa Ana;Santa Ana;15;17;6
San José;Santa Ana;Uruca;9;7;5
San José;Tarrazú;San Carlos;2;1;
San José;Tarrazú;San Lorenzo;2;;
San José;Tarrazú;San Marcos;7;4;6
San José;Tibás;Anselmo Llorente;16;22;2
San José;Tibás;Cinco Esquinas;31;44;13
San José;Tibás;Colima;13;34;9
San José;Tibás;León XIII;41;52;17
San José;Tibás;San Juan;33;25;11
San José;Turrubares;Carara;;1;1
San José;Turrubares;San Juan de Mata;1;;
San José;Turrubares;San Pablo;;2;
San José;Vazquez de Coronado;Cascajal;4;3;3
San José;Vazquez de Coronado;Dulce Nombre de Jesús;13;32;7
San José;Vazquez de Coronado;Patalillo;29;34;14
San José;Vazquez de Coronado;San Isidro;32;28;15
San José;Vazquez de Coronado;San Rafael;10;14;6
